LeiOfEntityWhichSubmittedTheOrder,DirectElectronicAccess,ClientIdentificationCode,InvestmentDecisionWithinFirm,ExecutionWithinFirm,NonExecutingBroker,TradingCapacity,LiquidityProvisionActivity,DateAndTime,ValidityPeriod,OrderRestriction,ValidityPeriodDateAndTime,MicCode,FinancialInstrumentsIdentificationCode,DateOfReceipt,OrderIdentificationCode,Lifecycle,OrderType,OrderTypeClassification,LimitPrice,AdditionalLimitPrice,StopPrice,PeggedLimitPrice,PriceCurrency,CurrencyOfLeg2,PriceNotation,BuySellIndicator,OrderStatus,QuantityNotation,QuantityCurrency,InitialQuantity,RemainingQuantityIncludingHidden,DisplayedQuantity,TradedQuantity,MinimumAcceptableQuantity,MinimumExecutableSize,MesFirstExecutionOnly,PassiveOnlyIndicator,SelfExecutionPrevention,StrategyLinkedOrder,RoutingStrategy,InstrumentFullName,UnderlyingInstrumentCode,InstrumentClassification,SRDTaxonomy,SequenceNumber,PassiveOrAggressiveIndicator,PriorityTimeStamp,OrderBookCode,TradingPhases,
1VUV7VQFKUOQSJ21A208,false,127662,100190,100190,,DEAL,,2020-10-28T12:10:07.181266Z,IOCV,VFCR,,XOFF,FR0012968337,2020-10-28,2020102803020000000000001989075P_1,FILL,Limit,LMTO,100.057,,,,,,PERC,BUYI,,MONE,EUR,50000000,0,0,50000000,,0,true,false,true,,,FRTR 0.25 25/11/20,,DNFTFN,FixedIncome:Bond:Sovereign,35,PASV,2020-10-28T12:10:07.181266Z,VXOFFe-96573a66497a,Central Limit Order Book,
1VUV7VQFKUOQSJ21A208,false,,100022,100022,,DEAL,,2020-10-28T12:50:37.265464Z,GTTV,VFCR,2020-10-28T23:59:59.000000Z,TSGB,DE0001030567,2020-10-28,10059456,NEWO,Limit,LMTO,108.14,,,,,,BAPO,SELL,ACTI,MONE,EUR,5000000,5000000,5000000,0,,5000000,true,false,true,,,BUNDei26,,DBVTFB,FixedIncome:Bond:Sovereign,112,,2020-10-28T12:50:37.265394Z,120TSGB998969e25a5f,Continuous Volume Matching,
,false,,UT08H9,UT08H9,,DEAL,false,2020-10-28T11:41:21.631544Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZ1TWTSLFFG1,2020-10-28,102MOIK8BOBUY,FILL,Limit,LMTO,1.1738,,,,EUR,,MONE,BUYI,,MONE,EUR,500000000,0,0,500000000,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,275,,,VEZ1TWTSLFFG1,,
,false,,,,,DEAL,false,2020-10-28T08:18:57.957105Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZ713FKFLWC9,2020-10-28,102MNCCEBOBUY,FILL,Limit,LMTO,16.2967,,,,ZAR,,MONE,BUYI,,MONE,ZAR,2000000000,0,0,2000000000,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,15,,,VEZ713FKFLWC9,,
,false,,,,,DEAL,false,2020-10-28T03:23:30.087373Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZZ9VBT2DP24,2020-10-28,1015GQS1BOSELL,FILL,Limit,LMTO,6.707,,,,USD,,MONE,SELL,,MONE,USD,20000000,0,0,20000000,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,100,,,VEZZ9VBT2DP24,,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T07:29:48.967041Z,GTCV,VFCR,2099-12-31T23:59:59Z,IOFI,XS1787278008,2020-10-28,47603791,CHME,Limit,LMTO,35,,,,,,BAPO,SELL,ACTI,MONE,EUR,1000000,1000000,1000000,0,,1000000,true,false,true,,,ACAFP FRN 03/06/23,,DTVUFB,FixedIncome:Bond:Corporate,65,,2020-10-28T07:29:48.966967Z,99IOFI-9263072bf8eb,Central Limit Order Book,
,false,,,,,DEAL,false,2020-10-28T06:28:27.239973Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZ1C18HN8KB4,2020-10-28,1015GZYABOBUY,NEWO,Limit,LMTO,6.71025,,,,CNY,,MONE,BUYI,ACTI,MONE,CNY,1000000000,1000000000,1000000000,0,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,441,,,VEZ1C18HN8KB4,,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T07:29:55.364515Z,GTCV,VFCR,2099-12-31T23:59:59Z,IOFI,XS1823532996,2020-10-28,47605842,CHME,Limit,LMTO,41,,,,,,BAPO,BUYI,ACTI,MONE,EUR,1000000,1000000,1000000,0,,1000000,true,false,true,,,BNP FRN 05/22/23,,DTVUFB,FixedIncome:Bond:Corporate,20,,2020-10-28T07:29:55.364460Z,99IOFI-bdaf8f3c77af,Central Limit Order Book,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T07:29:48.928833Z,GTCV,VFCR,2099-12-31T23:59:59Z,IOFI,XS1823532996,2020-10-28,47605844,CHME,Limit,LMTO,34,,,,,,BAPO,SELL,ACTI,MONE,EUR,1000000,1000000,1000000,0,,1000000,true,false,true,,,BNP FRN 05/22/23,,DTVUFB,FixedIncome:Bond:Corporate,18,,2020-10-28T07:29:48.928760Z,99IOFI-bdaf8f3c77af,Central Limit Order Book,
1VUV7VQFKUOQSJ21A208,false,127662,100145,100145,,DEAL,,2020-10-28T11:30:46.246274Z,IOCV,VFCR,,XOFF,EZSTVTZYM6B5,2020-10-28,20201028045000000000000001727028_1,NEWO,Limit,LMTO,0.003902,,,,,,BAPO,BUYI,ACTI,MONE,GBP,25000000,25000000,25000000,0,,0,true,false,true,,,GILT.DEC.20,,SRCCSP,InterestRate:IRSwap:FixedFloat,37,,2020-10-28T11:30:46.246274Z,VXOFFe-9b25d6361d48,Central Limit Order Book,
1VUV7VQFKUOQSJ21A208,false,127665,,,,DEAL,,2020-10-28T16:42:30.961839Z,IOCV,VFCR,,XOFF,EZ3X5P46SFJ3,2020-10-28,2020102801000000000000007755635F_2,FILL,Limit,LMTO,0.706101,,,,,,BAPO,SELL,,MONE,AUD,200000000,0,0,200000000,,0,true,false,true,,,FWD.AUD.USD.1M,,JFTXFP,ForeignExchange:Forward,65,PASV,2020-10-28T16:42:30.961839Z,VXOFF9-18deecb58550,Central Limit Order Book,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T15:15:43.023991Z,GTCV,VFCR,2099-12-31T23:59:59Z,IOFI,XS1626933102,2020-10-28,47651075,CHME,Limit,LMTO,50,,,,,,BAPO,SELL,ACTI,MONE,EUR,1000000,1000000,1000000,0,,1000000,true,false,true,,,BNP FRN 06/07/24,,DTVUFB,FixedIncome:Bond:Corporate,33,,2020-10-28T15:15:43.023932Z,99IOFI-88865bb061ad,Central Limit Order Book,
,false,,100224,100224,,DEAL,false,2020-10-28T11:24:17.98Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,IMCE,FR0000131906,2020-10-28,KAS2mH5t053801BOSELL,NEWO,Limit,LMTO,21.89,,,,EUR,,MONE,SELL,ACTI,UNIT,EUR,744122,744122,744122,0,,,,,true,,,RNOFPXXX_CASHCROSS_J3L1wt4y003c01,,ESXXXN,Equity:CashEquity,2433,,,VFR0000131906,,
1VUV7VQFKUOQSJ21A208,false,127665,,,,DEAL,,2020-10-28T16:42:30.960839Z,IOCV,VFCR,,XOFF,EZ9KWX81JQT0,2020-10-28,2020102801000000000000007755635N_1,NEWO,Limit,LMTO,0.706,,,,,,BAPO,BUYI,ACTI,MONE,AUD,200000000,200000000,200000000,0,,0,true,false,true,,,FWD.AUD.USD.1M,,JFTXFP,ForeignExchange:Forward,30,,2020-10-28T16:42:30.960839Z,VXOFF0-33876d1708ee,Central Limit Order Book,
1VUV7VQFKUOQSJ21A208,false,127662,,,,DEAL,,2020-10-28T11:13:00.632073Z,IOCV,VFCR,,XOFF,,2020-10-28,2020102803020000000000001989013P_2,NEWO,Limit,LMTO,130.157,,,,,,PERC,SELL,ACTI,MONE,EUR,5000000,5000000,5000000,0,,0,true,false,true,,,,,,,3427,,2020-10-28T11:13:00.632073Z,VXOFF,Central Limit Order Book,
1VUV7VQFKUOQSJ21A208,false,127662,,,,DEAL,,2020-10-28T10:34:30.376142Z,IOCV,VFCR,,XOFF,EZMN6PD825W6,2020-10-28,20201028045000000000000001727000_1,NEWO,Limit,LMTO,-0.0046875,,,,,,BAPO,BUYI,ACTI,MONE,JPY,4000000000,4000000000,4000000000,0,,0,true,false,true,,,JPY.20Y.3M.XCCY.BSX,,SRACCP,InterestRate:CrossCurrency:Basis,1,,2020-10-28T10:34:30.376142Z,VXOFF0-f46db0b35456,Central Limit Order Book,
1VUV7VQFKUOQSJ21A208,false,127665,,,,DEAL,,2020-10-28T16:29:28.652600Z,IOCV,VFCR,,XOFF,EZS2JQR81L43,2020-10-28,20201028045000000000000001727479_1,NEWO,Limit,LMTO,-0.00369,,,,,,BAPO,BUYI,ACTI,MONE,EUR,281700000,281700000,281700000,0,,0,true,false,true,,,8Y EUR IRS Outright (EUR.8Y.6M),,SRCCSP,InterestRate:IRSwap:FixedFloat,14,,2020-10-28T16:29:28.652600Z,VXOFF7-5579b677da0f,Central Limit Order Book,
,false,,,,,DEAL,false,2020-10-28T03:23:30.087373Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZHBMQYLL859,2020-10-28,1015GQSABOBUY,FILL,Limit,LMTO,6.7104,,,,USD,,MONE,BUYI,,MONE,USD,20000000,0,0,20000000,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,3,,,VEZHBMQYLL859,,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T17:35:56.094046Z,DAVY,VFCR,2020-10-28T23:59:59.999999Z,TSGB,,2020-10-28,10057934,REME,Limit,LMTO,-65.53,,,,,,BAPO,SELL,ACTI,MONE,EUR,10000000,10000000,10000000,0,,10000000,true,false,true,,,"DBR 0.00 05/35 EGB,BUND Dec 20",,,Strategy,13,,2020-10-28T17:35:56.093965Z,120TSGB2e53c6529d2a,Central Limit Order Book,
,false,,,,,DEAL,false,2020-10-28T06:28:27.240973Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZGD8FW1B560,2020-10-28,1015GZY1BOSELL,FILL,Limit,LMTO,6.71,,,,CNY,,MONE,SELL,,MONE,CNY,1000000000,0,0,1000000000,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,320,,,VEZGD8FW1B560,,
,false,,,,,DEAL,false,2020-10-28T09:05:13.273803Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZ3W922S6GL2,2020-10-28,102MNMF6BOSELL,FILL,Limit,LMTO,1.36082,,,,USD,,MONE,SELL,,MONE,USD,50000000,0,0,50000000,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,36,,,VEZ3W922S6GL2,,
,false,,,,,DEAL,false,2020-10-28T08:11:14.596628Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZ8KS29WTX26,2020-10-28,1015H5L1BOBUY,NEWO,Limit,LMTO,1.176,,,,EUR,,MONE,BUYI,ACTI,MONE,EUR,350000000,350000000,350000000,0,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,129,,,VEZ8KS29WTX26,,
,false,,UT0S72,UT0S72,,DEAL,false,2020-10-28T13:20:42.358615Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZ5D4TVXX3C2,2020-10-28,1011ARWCBOBUY,NEWO,Limit,LMTO,1.3288,,,,CAD,,MONE,BUYI,ACTI,MONE,CAD,108637094,108637094,108637094,0,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,1,,,VEZ5D4TVXX3C2,,
,false,,,,,DEAL,false,2020-10-28T13:55:12.000905Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZ47GWVN7T04,2020-10-28,102MP40FBOSELL,FILL,Limit,LMTO,4.87593,,,,RON,,MONE,SELL,,MONE,RON,150000000,0,0,150000000,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,96,,,VEZ47GWVN7T04,,
1VUV7VQFKUOQSJ21A208,false,,100191,100191,,DEAL,,2020-10-28T08:27:31.676821Z,GTTV,VFCR,2020-10-28T23:59:59.000000Z,TSGB,FR0011427848,2020-10-28,10055879,CAME,Limit,LMTO,106.11,,,,,,BAPO,SELL,,MONE,EUR,5000000,0,0,0,,5000000,true,false,true,,,OATei24,,DNFTFN,FixedIncome:Bond:Sovereign,113,,2020-10-28T08:27:30.178780Z,120TSGB0f69bd3c7ff2,Continuous Volume Matching,
1VUV7VQFKUOQSJ21A208,false,,100191,100191,,DEAL,,2020-10-28T08:27:38.221855Z,GTTV,VFCR,2020-10-28T23:59:59.000000Z,TSGB,DE0001030567,2020-10-28,10055908,NEWO,Limit,LMTO,108.33,,,,,,BAPO,SELL,ACTI,MONE,EUR,5000000,5000000,5000000,0,,5000000,true,false,true,,,BUNDei26,,DBVTFB,FixedIncome:Bond:Sovereign,101,,2020-10-28T08:27:38.221781Z,120TSGB998969e25a5f,Continuous Volume Matching,
1VUV7VQFKUOQSJ21A208,false,127665,,,,DEAL,,2020-10-28T16:29:01.155263Z,IOCV,VFCR,,XOFF,EZ9KWX81JQT0,2020-10-28,2020102801000000000000007755624N_1,FILL,Limit,LMTO,0.7064,,,,,,BAPO,BUYI,,MONE,AUD,400000000,0,0,400000000,,0,true,false,true,,,FWD.AUD.USD.1M,,JFTXFP,ForeignExchange:Forward,26,PASV,2020-10-28T16:29:01.155263Z,VXOFF0-33876d1708ee,Central Limit Order Book,
,false,,UT08H9,UT08H9,,DEAL,false,2020-10-28T12:17:53.899987Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZ1TWTSLFFG1,2020-10-28,102MONN8BOBUY,FILL,Limit,LMTO,1.1727,,,,EUR,,MONE,BUYI,,MONE,EUR,500000000,0,0,500000000,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,291,,,VEZ1TWTSLFFG1,,
1VUV7VQFKUOQSJ21A208,false,121593,,,,DEAL,,2020-10-28T11:52:35.596089Z,IOCV,VFCR,,XOFF,EZBGPMCY0HR0,2020-10-28,2020102801000000000000007755211F_1,NEWO,Limit,LMTO,1.173475,,,,,,BAPO,BUYI,ACTI,MONE,EUR,500000000,500000000,500000000,0,,0,true,false,true,,,FWD.EUR.USD.1D,,JFTXFP,ForeignExchange:Forward,5,,2020-10-28T11:52:35.596089Z,VXOFF3-620c19a330d8,Central Limit Order Book,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T11:28:58.446905Z,DAVY,VFCR,2020-10-28T23:59:59.999999Z,TSGB,,2020-10-28,10057934,REME,Limit,LMTO,-65.53,,,,,,BAPO,SELL,ACTI,MONE,EUR,10000000,10000000,10000000,0,,10000000,true,false,true,,,"DBR 0.00 05/35 EGB,BUND Dec 20",,,Strategy,12,,2020-10-28T11:28:58.446821Z,120TSGB2e53c6529d2a,Central Limit Order Book,
,false,,,,,DEAL,false,2020-10-28T10:22:58.469824Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZ8KS29WTX26,2020-10-28,1011A6ACBOSELL,NEWO,Limit,LMTO,1.177224,,,,EUR,,MONE,SELL,ACTI,MONE,EUR,1000000000,1000000000,1000000000,0,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,198,,,VEZ8KS29WTX26,,
1VUV7VQFKUOQSJ21A208,false,,100191,100191,,DEAL,,2020-10-28T12:50:26.208189Z,GTTV,VFCR,2020-10-28T23:59:59.000000Z,TSGB,FR0013519253,2020-10-28,10059426,NEWO,Limit,LMTO,107.35,,,,,,BAPO,SELL,ACTI,MONE,EUR,30000000,30000000,30000000,0,,5000000,true,false,true,,,OATei26,,DBZXXN,FixedIncome:Bond:Sovereign,169,,2020-10-28T12:50:26.206698Z,120TSGBcc29036e44cf,Continuous Volume Matching,
,false,,,,,DEAL,false,2020-10-28T11:42:34.491863Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZ5J0C6ZLLT2,2020-10-28,102MOIB5BOSELL,NEWO,Limit,LMTO,16.366,,,,ZAR,,MONE,SELL,ACTI,MONE,ZAR,1442000000,1442000000,1442000000,0,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,118,,,VEZ5J0C6ZLLT2,,
,false,,,,,DEAL,false,2020-10-28T16:56:42.365899Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZVWLHV3Y158,2020-10-28,1011BALCBOSELL,NEWO,Limit,LMTO,21.1883,,,,MXN,,MONE,SELL,ACTI,MONE,MXN,660000000,660000000,660000000,0,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,322,,,VEZVWLHV3Y158,,
1VUV7VQFKUOQSJ21A208,false,208298,,,,DEAL,,2020-10-28T07:39:17.647234Z,IOCV,VFCR,,XOFF,EZ4PGKFJW5F3,2020-10-28,2020102801000000000000007754669N_2,FILL,Limit,LMTO,104.16105,,,,,,BAPO,SELL,,MONE,JPY,25000000000,0,0,25000000000,,0,true,false,true,,,FWD.JPY.USD.1D,,JFTXFP,ForeignExchange:Forward,137,PASV,2020-10-28T07:39:17.647234Z,VXOFFd-c9f0c1105d57,Central Limit Order Book,
1VUV7VQFKUOQSJ21A208,false,127662,,,,DEAL,,2020-10-28T10:34:30.334526Z,IOCV,VFCR,,XOFF,EZB0LQNL2T61,2020-10-28,20201028045000000000000001726999_2,NEWO,Limit,LMTO,-0.003775,,,,,,BAPO,SELL,ACTI,MONE,JPY,16000000000,16000000000,16000000000,0,,0,true,false,true,,,JPY.5Y.3M.XCCY.BSX,,SRACCP,InterestRate:CrossCurrency:Basis,2,,2020-10-28T10:34:30.334526Z,VXOFFe-1dd35719b9a3,Central Limit Order Book,
1VUV7VQFKUOQSJ21A208,false,127662,,,,DEAL,,2020-10-28T09:32:59.005351Z,IOCV,VFCR,,XOFF,EZ2D83WHHT43,2020-10-28,20201028045000000000000001726909_2,NEWO,Limit,LMTO,8.3125,,,,,,BAPO,SELL,ACTI,MONE,USD,7600000,7600000,7600000,0,,0,true,false,true,,,USD/TRY.12D.PUT,,JFTXFP,ForeignExchange:Forward,5,,2020-10-28T09:32:59.005351Z,VXOFF9-45323638af49,Central Limit Order Book,
,false,,,,,DEAL,false,2020-10-28T08:34:05.174206Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZB311KJFQ71,2020-10-28,1015H6X1BOBUY,FILL,Limit,LMTO,1.360801,,,,SGD,,MONE,BUYI,,MONE,SGD,150000000,0,0,150000000,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,23,,,VEZB311KJFQ71,,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T07:29:49.156677Z,GTCV,VFCR,2099-12-31T23:59:59Z,IOFI,XS1756434194,2020-10-28,47605835,CHME,Limit,LMTO,41,,,,,,BAPO,BUYI,ACTI,MONE,EUR,1000000,1000000,1000000,0,,1000000,true,false,true,,,BNP FRN 01/19/23,,DTVUFB,FixedIncome:Bond:Corporate,20,,2020-10-28T07:29:49.156608Z,99IOFI-adcb95ebb174,Central Limit Order Book,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T07:29:55.570551Z,GTCV,VFCR,2099-12-31T23:59:59Z,IOFI,XS1756434194,2020-10-28,47605840,CHME,Limit,LMTO,34,,,,,,BAPO,SELL,ACTI,MONE,EUR,1000000,1000000,1000000,0,,1000000,true,false,true,,,BNP FRN 01/19/23,,DTVUFB,FixedIncome:Bond:Corporate,22,,2020-10-28T07:29:55.570498Z,99IOFI-adcb95ebb174,Central Limit Order Book,
,false,,100044,100044,,DEAL,false,2020-10-28T10:01:07.549934Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZH5TB8TLWF9,2020-10-28,102MO0L8BOSELL,FILL,Limit,LMTO,-0.473,,,,,,PERC,SELL,,MONE,EUR,500000000,0,0,500000000,,,,,true,,,,,SRHCSP,InterestRate:IRSwap:FixedFloat:OIS,4,,,VEZH5TB8TLWF9,,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T07:29:49.100411Z,GTCV,VFCR,2099-12-31T23:59:59Z,IOFI,FR0013241130,2020-10-28,47611197,CHME,Limit,LMTO,21,,,,,,BAPO,BUYI,ACTI,MONE,EUR,1000000,1000000,1000000,0,,1000000,true,false,true,,,BPCEGP FRN 03/09/22,,DTVNFB,FixedIncome:Bond:Corporate,10,,2020-10-28T07:29:49.100342Z,99IOFI-455b7bba4eea,Central Limit Order Book,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T08:21:06.425584Z,GTCV,VFCR,2099-12-31T23:59:59Z,IOFI,XS1626933102,2020-10-28,47651075,REME,Limit,LMTO,50,,,,,,BAPO,SELL,ACTI,MONE,EUR,1000000,1000000,1000000,0,,1000000,true,false,true,,,BNP FRN 06/07/24,,DTVUFB,FixedIncome:Bond:Corporate,32,,2020-10-28T08:21:06.425502Z,99IOFI-88865bb061ad,Central Limit Order Book,
,false,,UT2A00,UT2A00,,DEAL,false,2020-10-28T13:51:57.002089Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZ1C18HN8KB4,2020-10-28,102MP3Y5BOSELL,NEWO,Limit,LMTO,6.73,,,,CNY,,MONE,SELL,ACTI,MONE,CNY,140000000,140000000,140000000,0,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,310,,,VEZ1C18HN8KB4,,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T07:31:17.620325Z,GTCV,VFCR,2099-12-31T23:59:59Z,IOFI,,2020-10-28,47629318,CHME,Limit,LMTO,72,,,,,,BAPO,BUYI,ACTI,MONE,EUR,1000000,1000000,1000000,0,,1000000,true,false,true,,,"MS 1.875 3/23,DBR 1.5 02/23 (ICAP)",,,Strategy,3,,2020-10-28T07:31:17.620250Z,99IOFI-f86a7054915b,Central Limit Order Book,
1VUV7VQFKUOQSJ21A208,false,127662,100190,100190,,DEAL,,2020-10-28T12:54:11.216088Z,IOCV,VFCR,,XOFF,FR0012968337,2020-10-28,2020102803020000000000001989127P_1,NEWO,Limit,LMTO,100.058,,,,,,PERC,BUYI,ACTI,MONE,EUR,50000000,50000000,50000000,0,,0,true,false,true,,,FRTR 0.25 25/11/20,,DNFTFN,FixedIncome:Bond:Sovereign,36,,2020-10-28T12:54:11.216088Z,VXOFFe-96573a66497a,Central Limit Order Book,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T15:15:42.964195Z,GTCV,VFCR,2099-12-31T23:59:59Z,IOFI,XS1787278008,2020-10-28,47651063,CHME,Limit,LMTO,38,,,,,,BAPO,SELL,ACTI,MONE,EUR,1000000,1000000,1000000,0,,1000000,true,false,true,,,ACAFP FRN 03/06/23,,DTVUFB,FixedIncome:Bond:Corporate,71,,2020-10-28T15:15:42.964114Z,99IOFI-9263072bf8eb,Central Limit Order Book,
,false,,,,,DEAL,false,2020-10-28T13:52:59.820946Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZ6HY057S8X7,2020-10-28,102MP2K5BOBUY,FILL,Limit,LMTO,6,,,,,,PERC,BUYI,,MONE,EUR,50000000,0,0,50000000,,,,,true,,,,,SRCCSP,InterestRate:IRSwap:FixedFloat,3,,,VEZ6HY057S8X7,,
1VUV7VQFKUOQSJ21A208,false,127665,,,,DEAL,,2020-10-28T08:34:42.570525Z,IOCV,VFCR,,XOFF,EZ8KS29WTX26,2020-10-28,2020102801000000000000007754825F_1,FILL,Limit,LMTO,1.175423,,,,,,BAPO,BUYI,,MONE,EUR,89000000,0,0,89000000,,0,true,false,true,,,FWD.EUR.USD.1D,,JFTXFP,ForeignExchange:Forward,185,PASV,2020-10-28T08:34:42.570525Z,VXOFF7-bf18e6cbc586,Central Limit Order Book,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T07:31:21.314001Z,GTCV,VFCR,2099-12-31T23:59:59Z,IOFI,,2020-10-28,47629301,CHME,Limit,LMTO,61,,,,,,BAPO,BUYI,ACTI,MONE,EUR,1000000,1000000,1000000,0,,1000000,true,false,true,,,"MS 1.0 D/22,DBR 1.75 07/22 (ICAP)",,,Strategy,7,,2020-10-28T07:31:21.313945Z,99IOFI-3df5017afa56,Central Limit Order Book,
,false,,,,,DEAL,false,2020-10-28T08:38:42.868806Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZ7VQR2BWWL7,2020-10-28,1015H711BOSELL,NEWO,Limit,LMTO,1.2999,,,,GBP,,MONE,SELL,ACTI,MONE,GBP,80000000,80000000,80000000,0,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,142,,,VEZ7VQR2BWWL7,,
,false,,,,,DEAL,false,2020-10-28T06:29:31.574373Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZ1C18HN8KB4,2020-10-28,1015H01ABOBUY,NEWO,Limit,LMTO,6.71025,,,,CNY,,MONE,BUYI,ACTI,MONE,CNY,500000000,500000000,500000000,0,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,445,,,VEZ1C18HN8KB4,,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T07:29:55.432334Z,GTCV,VFCR,2099-12-31T23:59:59Z,IOFI,FR0013309317,2020-10-28,47611214,CHME,Limit,LMTO,46,,,,,,BAPO,BUYI,ACTI,MONE,EUR,1000000,1000000,1000000,0,,1000000,true,false,true,,,BPCEGP FRN 01/11/23,,DTVNFB,FixedIncome:Bond:Corporate,27,,2020-10-28T07:29:55.432281Z,99IOFI-395353c34ac1,Central Limit Order Book,
,false,,,,,DEAL,false,2020-10-28T12:31:30.144628Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZ0D90V21LJ4,2020-10-28,102MOPM6BOSELL,FILL,Limit,LMTO,17.6,,,,,,PERC,SELL,,MONE,EUR,75300000,0,0,75300000,,,,,true,,,,,SRCCSP,InterestRate:IRSwap:FixedFloat,128,,,VEZ0D90V21LJ4,,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T07:31:21.331799Z,GTCV,VFCR,2099-12-31T23:59:59Z,IOFI,,2020-10-28,47629318,CHME,Limit,LMTO,72,,,,,,BAPO,BUYI,ACTI,MONE,EUR,1000000,1000000,1000000,0,,1000000,true,false,true,,,"MS 1.875 3/23,DBR 1.5 02/23 (ICAP)",,,Strategy,4,,2020-10-28T07:31:21.331743Z,99IOFI-f86a7054915b,Central Limit Order Book,
,false,,,,,DEAL,false,2020-10-28T14:18:51.650205Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZ3N903ZMJW5,2020-10-28,102MP8B8BOSELL,NEWO,Limit,LMTO,1,,,,,,PERC,SELL,ACTI,MONE,EUR,115000000,115000000,115000000,0,,,,,true,,,,,SRCCSP,InterestRate:IRSwap:FixedFloat,2,,,VEZ3N903ZMJW5,,
,false,,,,,DEAL,false,2020-10-28T03:19:38.925573Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZGD8FW1B560,2020-10-28,1015GQN1BOBUY,NEWO,Limit,LMTO,6.7082,,,,USD,,MONE,BUYI,ACTI,MONE,USD,20000000,20000000,20000000,0,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,281,,,VEZGD8FW1B560,,
